date,bases,open_access_bases,bytes,open_access_bytes
12/22/2012,1.0281E+15,4.23204E+14,7.88356E+14,4.06804E+14
12/23/2012,1.02835E+15,4.23455E+14,7.8851E+14,4.06958E+14
12/24/2012,1.02858E+15,4.23677E+14,7.88662E+14,4.07107E+14
12/25/2012,1.02873E+15,4.2383E+14,7.8877E+14,4.07214E+14
12/26/2012,1.02936E+15,4.24351E+14,7.89152E+14,4.07533E+14
12/27/2012,1.03073E+15,4.24459E+14,7.89798E+14,4.07602E+14
12/28/2012,1.03666E+15,4.25186E+14,7.93649E+14,4.08066E+14
12/29/2012,1.03823E+15,4.25503E+14,7.94723E+14,4.08212E+14
12/30/2012,1.03851E+15,4.25503E+14,7.94935E+14,4.08213E+14
12/31/2012,1.04076E+15,4.26806E+14,7.96313E+14,4.09155E+14
01/01/2013,1.04235E+15,4.2701E+14,7.97053E+14,4.09279E+14
01/02/2013,1.04415E+15,4.28813E+14,7.98264E+14,4.10489E+14
01/03/2013,1.0507E+15,4.35048E+14,8.01993E+14,4.14082E+14
01/04/2013,1.0533E+15,4.36804E+14,8.03366E+14,4.1507E+14
01/05/2013,1.05331E+15,4.36818E+14,8.03374E+14,4.15078E+14
01/06/2013,1.05371E+15,4.37216E+14,8.03635E+14,4.15339E+14
01/07/2013,1.05407E+15,4.37478E+14,8.03839E+14,4.15494E+14
01/08/2013,1.05462E+15,4.38003E+14,8.04169E+14,4.15812E+14
01/09/2013,1.05597E+15,4.3857E+14,8.05115E+14,4.16167E+14
01/10/2013,1.05965E+15,4.42131E+14,8.07219E+14,4.18206E+14
01/11/2013,1.06177E+15,4.43646E+14,8.09092E+14,4.19638E+14
01/12/2013,1.06624E+15,4.43648E+14,8.11194E+14,4.19639E+14
01/13/2013,1.06682E+15,4.43725E+14,8.11476E+14,4.19691E+14
01/14/2013,1.06757E+15,4.44446E+14,8.11972E+14,4.20172E+14
01/15/2013,1.0685E+15,4.45335E+14,8.12609E+14,4.20786E+14
01/16/2013,1.07041E+15,4.46306E+14,8.13695E+14,4.21355E+14
01/17/2013,1.07053E+15,4.46407E+14,8.13768E+14,4.21418E+14
01/18/2013,1.07133E+15,4.47192E+14,8.14298E+14,4.2194E+14
01/19/2013,1.07139E+15,4.47256E+14,8.14342E+14,4.21984E+14
01/20/2013,1.0718E+15,4.47657E+14,8.14597E+14,4.22239E+14
01/21/2013,1.07195E+15,4.47815E+14,8.14698E+14,4.2234E+14
01/22/2013,1.07315E+15,4.49012E+14,8.15517E+14,4.23159E+14
01/23/2013,1.0762E+15,4.52061E+14,8.1703E+14,4.24672E+14
01/24/2013,1.07862E+15,4.53617E+14,8.18404E+14,4.25575E+14
01/25/2013,1.0794E+15,4.5411E+14,8.18853E+14,4.25863E+14
01/26/2013,1.07999E+15,4.54703E+14,8.19217E+14,4.26227E+14
01/27/2013,1.08026E+15,4.5497E+14,8.19395E+14,4.26405E+14
01/28/2013,1.08053E+15,4.55239E+14,8.1958E+14,4.2659E+14
01/29/2013,1.08122E+15,4.55935E+14,8.20072E+14,4.27082E+14
01/30/2013,1.0827E+15,4.56283E+14,8.20813E+14,4.27303E+14
01/31/2013,1.08306E+15,4.56524E+14,8.21048E+14,4.2748E+14
02/01/2013,1.08818E+15,4.57785E+14,8.23665E+14,4.28269E+14
02/02/2013,1.08956E+15,4.57825E+14,8.24444E+14,4.28296E+14
02/03/2013,1.09257E+15,4.57859E+14,8.26127E+14,4.28323E+14
02/04/2013,1.09435E+15,4.58177E+14,8.27099E+14,4.28521E+14
02/05/2013,1.09651E+15,4.58649E+14,8.28228E+14,4.28751E+14
02/06/2013,1.09852E+15,4.59186E+14,8.29362E+14,4.29101E+14
